skeptycal/.dotfiles	This is a collection of settings and utilities that keeps me working somewhat efficiently.	public	2021-05-01T13:33:02Z
skeptycal/.dotfiles_ssh	fork of .dotfiles for use with remote server over ssh	public	2019-11-04T14:02:17Z
skeptycal/.oh-my-zsh	🙃 A delightful community-driven (with 1700+ contributors) framework for managing your zsh configuration.	public	2020-10-20T11:02:15Z
skeptycal/3DScatterPlotApplication		public	2021-12-13T20:31:25Z
skeptycal/Algorithms-Engineering	solutions to various algorithmic problems	public	2015-09-05T23:00:16Z
skeptycal/CPP-Code	solutions to various programming tasks in C++	public	2015-07-01T21:07:08Z
skeptycal/ColorTerm	because the world doesn't have enough ANSI CLI color tools ...	public	2019-02-28T20:07:27Z
skeptycal/EA31337-Lite-Sets		public	2019-06-08T15:29:52Z
skeptycal/Fast-Exponentiation	Implementation of the square and multiply algorithm	public	2015-09-08T16:24:48Z
skeptycal/Fibonacci-Spiral-Application		public	2021-12-13T20:28:19Z
skeptycal/FileParser	Local File Parser / Converter / Formatter	public	2018-12-05T03:55:06Z
skeptycal/Flask-application-in-Python		public	2019-10-26T19:25:49Z
skeptycal/GitHubActionsRunner	Setup for self-hosted GitHub Actions Runner.	public	2021-03-05T04:15:49Z
skeptycal/HelloWorld	My Hello World Website ... first website in over 10 years. I'm rusty =)	public, archived	2018-09-19T06:32:30Z
skeptycal/Is-Python	Which Python shell is being used?	public	2019-06-24T17:37:22Z
skeptycal/IsingLatticeGas-CME		public	2018-02-03T19:59:12Z
skeptycal/JamminButteriPhone		public	2013-01-13T05:36:35Z
skeptycal/ML_ops_python	Azure workflow	public	2019-09-25T09:53:57Z
skeptycal/Medium		public	2018-11-19T03:56:17Z
skeptycal/Nanoweb	Listen for http requests on port 8080 and respond with the requested file.	public	2016-08-11T17:00:41Z
skeptycal/OpenDyslexic	OpenDyslexic is a new open source font created to increase readability for readers with dyslexia. The typeface includes regular, bold, italic, and bold-italic styles. It is being updated continually and improved based on input from dyslexic users. OpenDyslexic is free for Commercial and Personal use.	public	2017-06-17T08:20:05Z
skeptycal/Personal-Assistant	Android app for personal assistance which includes spam sms blocker....	public	2017-05-12T11:09:58Z
skeptycal/Python-1	Basic Python Scripts including some GUI applications but mostly terminal.	public	2018-10-23T21:16:27Z
skeptycal/RenderMarkdown		public	2019-11-16T20:49:22Z
skeptycal/Simple_ToDo	Created with CodeSandbox	public	2019-11-18T05:26:48Z
skeptycal/TenDay_Stack_Exchange	Ten Day Assignment: Analysis of Stack Exchange Data	public	2021-03-20T00:51:17Z
skeptycal/algo		public	2021-10-21T18:22:12Z
skeptycal/algotest	Package test is a sandbox for testing algorithms	public	2021-04-02T12:45:20Z
skeptycal/anansi		public	2020-12-08T03:30:54Z
skeptycal/ansi	ansi color utilities for macOS	public	2021-10-01T13:23:51Z
skeptycal/ansicolors	ANSI colors and CLI utilities for macOS / Linux	public	2020-12-24T11:36:42Z
skeptycal/apple_py	Crust and Lattice for Python CLI Programs.	public	2019-10-06T06:32:58Z
skeptycal/as-anansi	Tricky and fun ansi text utilities for python programs. The obligatory ANSI CLI module from the Python system utilities package AutoSys	public	2021-07-13T06:49:49Z
skeptycal/auto_loguru	Fancy defaults for the awesome loguru logs!	public	2020-08-27T01:18:33Z
skeptycal/autosys	System utilities for efficient Python development on macOS	public	2021-06-02T02:35:09Z
skeptycal/awesome-badges	A collection of the best badges I have found on GitHub and around the web. Please add any new and interesting finds!	public	2019-03-01T20:06:38Z
skeptycal/benchmark		public	2021-05-12T00:10:35Z
skeptycal/bin		public	2020-07-26T19:06:26Z
skeptycal/binit		public	2020-12-07T03:28:37Z
skeptycal/bleno		public	2020-04-26T13:22:00Z
skeptycal/blog		public	2019-04-13T04:14:20Z
skeptycal/canvas_noise	Created with CodeSandbox	public	2019-11-18T05:36:48Z
skeptycal/capitals_lookup		public	2019-10-28T10:05:56Z
skeptycal/catcher	Fun utility for catching command line responses.	public	2020-02-14T06:26:39Z
skeptycal/cell-complex	a cell-complex based algebraic topology library	public	2021-09-29T18:09:56Z
skeptycal/cli	Command Line utilities for Go	public	2021-12-29T00:23:54Z
skeptycal/clojure2		public	2021-08-12T12:51:40Z
skeptycal/clojure_site	:unicorn: About me ...	public	2021-08-11T16:11:46Z
skeptycal/cookiecutter-pipproject		public	2020-09-28T17:52:10Z
skeptycal/crystals	example of crystal data scraping	public	2021-03-30T18:31:23Z
skeptycal/datatools		public	2020-12-16T17:45:27Z
skeptycal/debug		public	2020-12-04T05:49:46Z
skeptycal/dir		private	2021-04-17T04:08:44Z
skeptycal/dotfiles-1		public	2018-06-30T16:12:11Z
skeptycal/eduphoria	Gather and format student data from Eduphoria.	public	2021-06-10T17:52:54Z
skeptycal/eric6-20.3		public	2020-03-14T06:49:37Z
skeptycal/errorlogger		public	2021-05-27T01:21:51Z
skeptycal/example		public	2021-04-15T18:38:55Z
skeptycal/fake		public	2020-06-28T17:11:53Z
skeptycal/fake_static	Creating a static website along with working python code...	public	2020-10-16T19:09:56Z
skeptycal/fiber	A small example web server app using Go Fiber.	public	2020-12-17T04:30:29Z
skeptycal/file_analysis	Analyze file collection and provide options for handling common tasks	public	2019-03-05T16:37:38Z
skeptycal/filesort	Get your files sorted.	public	2017-10-09T10:15:42Z
skeptycal/flask-react-sandbox		public	2019-10-28T10:18:54Z
